id,title,url,num_points,num_comments,author,created_at
12578822,Amazons Algorithms Dont Find You the Best Deals,https://www.technologyreview.com/s/602442/amazons-algorithms-dont-find-you-the-best-deals/,1,1,yarapavan,9/26/2016 2:26
12578816,Ruffled Feathers,http://www.texasmonthly.com/articles/whooping-cranes-texas/,1,0,Thevet,2/13/2015 1:46
12578806,The Veil of Ignorance  Design and Accessbility,https://blog.marvelapp.com/the-veil-of-ignorance/,3,0,muratmutlu,9/26/2016 2:21
12578796,OMeta#: Who? What? When? Where? Why? (2008),http://www.moserware.com/2008/06/ometa-who-what-when-where-why.html,1,0,adamnemecek,6/14/2017 2:40
12578791,Burning Ship fractal,https://en.wikipedia.org/wiki/Burning_Ship_fractal,2,0,colinprince,2/13/2015 1:46
12578786,From Hiroko to Susie: The untold stories of Japanese war brides,http://www.washingtonpost.com/sf/national/2016/09/22/from-hiroko-to-susie-the-untold-stories-of-japanese-war-brides/,2,0,kawera,9/26/2016 2:16
12578753,ROBOLUTION:Robocalyptic Themed Machine Learning and Computer Vision Tutorials,http://robolution.co/,2,0,v3ss0n,6/14/2017 2:40
12578738,Segas Plans for World Domination (1993),https://www.wired.com/1993/06/sega/,2,0,luu,9/26/2015 2:04
12578725,Google Car: Sense and Money Impasse,https://mondaynote.com/google-car-sense-and-money-impasse-1e5dcf1924d#.15qm8e56e,4,0,kawera,6/14/2017 2:40
12578705,Why an open Web is important when sea levels are rising,https://changelog.com/221/,1,0,mynameislegion,2/13/2015 1:46
12578700,Forever 23: The Rapid Rise and Sudden Disappearance of Velva Darling,http://pictorial.jezebel.com/forever-23-the-rapid-rise-and-sudden-disappearance-of-1786330859,1,0,samclemens,9/26/2016 1:57
12578694,Emergency dose of epinephrine that does not cost an arm and a leg,http://m.imgur.com/gallery/th6Ua,2,1,dredmorbius,6/14/2017 2:40
12578681,Abu Ashraf Masnun: Introduction to Django Channels,http://masnun.rocks/2016/09/25/introduction-to-django-channels/,1,0,samber,9/26/2016 1:49
12578667,Airlines Embrace Pollution Plan That Could Cost Them $24B,http://www.bloomberg.com/news/articles/2016-09-25/airlines-embrace-pollution-plan-that-could-cost-them-24-billion,1,0,blondie9x,6/14/2017 2:40
12578665,China Completes Largest Radio Telescope in the World,http://www.npr.org/sections/thetwo-way/2016/09/25/495036700/china-completes-largest-radio-telescope-in-the-world,1,0,happy-go-lucky,9/26/2016 1:46
12578662,The Fastest Electric Vehicle in the World,http://pluginfuture.com/the-fastest-electric-vehicle-in-the-world/,1,0,peterkor,2/13/2015 1:46
12578649,Arnold Palmer dead at 87,http://www.espn.com/golf/story/_/id/17639539/arnold-palmer-dies-87,3,0,execCoach,9/26/2016 1:43
12578624,Phone Makers Could Cut Off Drivers. So Why Dont They?,http://www.nytimes.com/2016/09/25/technology/phone-makers-could-cut-off-drivers-so-why-dont-they.html,4,1,danso,9/26/2016 1:37
12578604,THE ENIAC:Electronic Numerical Integrator and Computer,https://www.youtube.com/watch?v=goi6NAHMKog,1,0,bane,2/13/2015 1:46
12578568,Cuba's DIY Inventions from 30 Years of Isolation [video],https://www.youtube.com/watch?v=v-XS4aueDUg,1,0,GuiA,9/26/2016 1:26
12578556,"OpenMW, Open Source Elderscrolls III: Morrowind Reimplementation",https://openmw.org/en/,32,3,rocky1138,2/13/2015 1:46
12578548,Shame on Microsoft for Leaving Surface Pro Customers in the Dark,https://redmondmag.com/articles/2016/10/01/surface-pro-customers-in-the-dark.aspx,2,0,megamike48,6/14/2017 2:40
12578539,Unity  Google daydream,https://unity3d.com/partners/google/daydream,2,0,jonbaer,9/26/2016 1:21
12578536,Unity's Google Daydream VR Technical Preview Available Now,https://blogs.unity3d.com/2016/09/22/daydream-technical-preview-available-now/,2,0,jonbaer,9/26/2016 1:20
12578527,Google internet balloon uses AI to stay in place for weeks,https://www.engadget.com/2016/09/25/google-project-loon-ai/,1,0,jonbaer,2/13/2015 1:18
12578522,Ask HN: How do you pass on your work when you die?,,6,3,PascLeRasc,9/26/2016 1:17
12578514,PostgreSQL RDS pg-stat-ramdisk-size new feature and its calculations,http://www.3manuek.com/pgstatramdisksize,1,0,3manuek,9/26/2016 1:16
12578463,Using Gmail like vi,https://medium.com/@gregsramblings/gmail-keyboard-shortcuts-using-3c845bb77043#.vacg7rxuj,2,0,gw5815,9/26/2016 1:05
12578446,The product management job search,https://medium.com/@zeteg/the-product-management-job-search-986c61039aa3,1,0,Shenglong,2/13/2015 0:57
12578430,Wireless signals can detect your feelings with new device,http://phys.org/news/2016-09-wireless-device.html,1,0,upen,2/13/2015 0:57
12578419,The Women in Product,https://medium.com/code-like-a-girl/the-women-in-product-8f3234bacc00#.qnldsnx8i,1,0,DinahDavis,9/26/2016 0:54
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
